miRNA	log2FoldChange	padj
dre-miR-142b-5p	-1.334672016	0.026651409
dre-miR-143	0.02148125	0.939671444
dre-miR-144-5p	-0.452708329	0.487602811
dre-miR-144-3p	-1.401678543	0.157210379
dre-miR-145-5p	-0.30417991	0.449225243
dre-miR-145-3p	-0.833746187	0.088964563
dre-miR-146a	0.091178974	0.843913669
dre-miR-146b	0.7549881	0.267861764
dre-miR-148	-0.843911491	0.10552454
dre-miR-150	0.573111287	0.211720404
dre-miR-152	-0.543658734	0.127492526
dre-miR-153b-3p	-1.79322549	0.05609792
dre-miR-155	0.884376282	0.111501287
dre-miR-181c-5p	0.271515391	0.737517732
dre-miR-184	1.510710792	0.063116695
dre-miR-190a	-1.64980038	0.022477701
dre-miR-462	0.815168027	0.045627287
dre-miR-193a-5p	0.9809602	0.088964563
dre-miR-193b-3p	0.536334332	0.601432624
dre-miR-194a	1.048569507	0.263637804
dre-miR-194b	1.040317173	0.259347593
dre-miR-196b	1.149970941	0.049694142
dre-miR-200a-5p	0.862423901	0.107712461
dre-miR-200a-3p	0.149280633	0.681837983
dre-miR-200b-5p	1.097149485	0.177087132
dre-miR-200b-3p	0.471084393	0.016252436
dre-miR-200c-3p	0.410035878	0.024398202
dre-miR-202-5p	-0.389215646	0.263637804
dre-miR-202-3p	2.217015149	0.038063316
dre-miR-203b-3p	0.220710723	0.809323495
dre-miR-206-3p	0.374008503	0.488144991
dre-miR-216b	0.358452752	0.791071564
dre-miR-218a	-0.2292647	0.457513633
dre-miR-218b	-0.16660758	0.746896763
dre-miR-301a	-1.543715118	0.012615231
dre-miR-301b-3p	-1.815903637	0.063090094
dre-miR-301c-3p	-1.945455732	0.038152929
dre-miR-338	-1.155736101	0.063116695
dre-miR-363-3p	0.330687254	0.429060528
dre-miR-365	0.391241089	0.202959329
dre-miR-375	0.609523789	0.457298072
dre-miR-454a	-0.617997823	0.429060528
dre-miR-454b	-0.727581982	0.099042981
dre-miR-455-5p	0.381724368	0.338594849
dre-miR-455-3p	0.388258523	0.533920866
dre-miR-456	0.235527954	0.710872788
dre-miR-457a	-0.162205232	0.601432624
dre-miR-457b-5p	-0.448287752	0.533920866
dre-miR-457b-3p	0.122803904	0.854881168
dre-miR-458-3p	0.195801905	0.715777844
dre-miR-459-5p	-0.244306959	0.846336444
dre-miR-459-3p	1.690105512	0.290589672
dre-miR-460-5p	-0.347795317	0.731518033
dre-let-7j	0.304079145	0.407838682
dre-miR-135b-5p	-1.774942674	0.107712461
dre-miR-181a-2-3p	-0.440491204	0.681837983
dre-miR-34b	1.059693235	0.328448167
dre-miR-31	0.932666842	0.095674658
dre-miR-135a	-0.961592928	0.042597457
dre-miR-139-3p	2.139417433	0.062909835
dre-miR-722	-1.690857087	0.001565389
dre-miR-499-5p	-1.9849915	0.014305983
