miRNA	log2FoldChange	padj
dre-miR-92a-2-5p	-0.474961856	0.852484622
dre-miR-92b-3p	-0.425219702	0.852484622
dre-miR-103	-0.327413047	0.852484622
dre-miR-125b-5p	-0.21315935	0.852484622
dre-miR-125b-3-3p	-0.45620096	0.852484622
dre-miR-132-3p	0.338608066	0.852484622
dre-miR-135c	0.428758167	0.852484622
dre-miR-138-3p	-0.787058204	0.852484622
dre-miR-141-5p	-0.9342617	0.852484622
dre-miR-142a-3p	-0.4229555	0.852484622
dre-miR-145-3p	0.437438073	0.852484622
dre-miR-150	-0.286430021	0.852484622
dre-miR-193b-5p	-0.477285728	0.852484622
dre-miR-203b-3p	0.376402349	0.852484622
dre-miR-206-3p	-0.567064388	0.852484622
dre-miR-218b	0.456929538	0.852484622
dre-miR-455-5p	0.233265055	0.852484622
dre-miR-456	-0.206717599	0.852484622
dre-miR-457b-5p	-0.351942737	0.852484622
dre-miR-457b-3p	-0.621679125	0.852484622
dre-miR-459-5p	-0.900462264	0.852484622
dre-miR-460-3p	-0.688907694	0.852484622
dre-miR-212	1.330119161	0.852484622
dre-miR-722	0.537247222	0.852484622
dre-miR-725-3p	0.3900403	0.852484622
dre-miR-34c-5p	-0.64234265	0.852484622
dre-miR-735-5p	-0.416632021	0.852484622
dre-miR-1388-3p	-0.390806624	0.852484622
dre-miR-1788-3p	-1.444934929	0.852484622
dre-miR-2191	-0.646588234	0.852484622
dre-miR-2188-5p	0.306542791	0.852484622
dre-miR-7146-3p	-0.479559717	0.852484622
dre-miR-7147	0.58705615	0.852484622
dre-miR-212-3p	0.841759453	0.852484622
dre-miR-204-3-3p	-1.289010092	0.852484622
dre-miR-7133-3p	0.522761476	0.852484622
dre-miR-7132-5p	-0.891376426	0.852484622
dre-miR-7132-3p	-1.0284548	0.852484622
dre-miR-727-5p	0.36183164	0.854809518
dre-miR-451	0.233131025	0.867017414
dre-miR-22a-3p	0.15192748	0.880655911
dre-miR-129-5p	0.291535729	0.880655911
dre-miR-133a-5p	-0.593923592	0.885402323
dre-miR-138-5p	0.266971361	0.885402323
dre-miR-144-5p	0.324032798	0.885402323
dre-miR-190b	0.488872999	0.885402323
dre-miR-181a-5p	0.170113993	0.900259215
dre-miR-130a	-0.220042177	0.900259215
dre-miR-723-3p	0.310670074	0.900259215
dre-miR-7146-5p	0.308957778	0.906987582
dre-miR-187	0.369130375	0.928374774
dre-miR-122	-0.32226807	0.928374774
dre-miR-152	0.158052805	0.928374774
dre-miR-1	0.226016718	0.939720733
dre-miR-142b-5p	0.333760048	0.939720733
dre-miR-10a-5p	-0.374433212	0.943826795
dre-miR-23a-3-5p	-0.41035734	0.943826795
dre-miR-26a-3p	-0.196944071	0.943826795
dre-miR-27d	0.222825215	0.943826795
dre-miR-148	0.173007644	0.943826795
dre-miR-455-2-5p	0.316203651	0.943826795
dre-miR-10b-3p	-0.24965978	0.948130831
dre-miR-16c-3p	-0.133340069	0.948130831
dre-miR-19b-3p	0.1797047	0.948130831
dre-miR-100-3p	-0.52939535	0.948130831
dre-miR-144-3p	-0.579553917	0.948130831
dre-miR-454b	0.134493233	0.948130831
dre-miR-31	-0.207488475	0.948130831
dre-miR-138-2-3p	0.62616086	0.948130831
dre-miR-199-3p	-0.135558206	0.948735863
dre-miR-18b-5p	-0.27376726	0.948735863
dre-miR-18c	-0.250596771	0.948735863
dre-miR-19d-5p	-0.40684172	0.948735863
dre-miR-19d-3p	-0.158344301	0.948735863
dre-miR-20a-3p	-0.373590452	0.948735863
dre-miR-96-5p	-0.292636512	0.948735863
dre-miR-126a-3p	0.083449524	0.948735863
dre-miR-128-5p	-0.178882145	0.948735863
dre-miR-130b	0.11177299	0.948735863
dre-miR-137-5p	-0.273407467	0.948735863
dre-miR-137-3p	0.220482412	0.948735863
dre-miR-143	0.120386985	0.948735863
dre-miR-200c-5p	-0.525491478	0.948735863
dre-miR-202-3p	-0.143074303	0.948735863
dre-miR-460-5p	0.204459697	0.948735863
dre-miR-729	0.271193095	0.948735863
dre-miR-196d	-0.17291946	0.948735863
dre-miR-212-5p	0.16051173	0.948735863
dre-miR-181a-5-3p	-0.164179887	0.948735863
dre-miR-181d-5p	-0.189204226	0.948735863
dre-miR-24b-5p	-0.293512836	0.948735863
dre-miR-16b	0.081511786	0.958015436
dre-miR-124-6-5p	0.27979749	0.958015436
dre-miR-129-1-3p	-0.186883607	0.958015436
dre-miR-193a-5p	0.116268671	0.958015436
dre-miR-193b-3p	0.150440071	0.958015436
dre-miR-34c-3p	0.14622836	0.958015436
dre-miR-730	0.136972714	0.958015436
dre-miR-2187-3p	-0.154903206	0.958015436
dre-miR-7b	-0.108540808	0.971211154
dre-let-7g	-0.067456563	0.971211154
dre-miR-16c-5p	-0.065254115	0.971211154
dre-miR-18a	-0.239583553	0.971211154
dre-miR-23b	0.092224875	0.971211154
dre-miR-130c-3p	-0.098258224	0.971211154
dre-miR-7148-5p	-0.251173313	0.971211154
dre-miR-29b3-5p	0.28438151	0.971211154
dre-miR-181b-5p	-0.060252869	0.974410511
dre-miR-128-3p	-0.064642761	0.974410511
dre-miR-454a	-0.076625319	0.974410511
dre-miR-181a-3-3p	-0.188519252	0.974410511
dre-miR-20a-5p	-0.071793804	0.975366316
dre-miR-9-4-3p	-0.094478886	0.983401465
dre-miR-133a-3p	0.101307155	0.983401465
dre-miR-181a-3p	-0.069448687	0.98496918
dre-let-7a	-0.041058351	0.98496918
dre-let-7d-5p	-0.05457224	0.98496918
dre-miR-181c-3p	-0.204281926	0.98496918
dre-miR-10a-3p	-0.094893577	0.988804778
dre-miR-222a-3p	0.024944617	0.988804778
dre-miR-125a	-0.040179342	0.988804778
dre-miR-140-3p	-0.045357995	0.988804778
dre-miR-202-5p	-0.043555427	0.988804778
dre-miR-301a	0.091124316	0.988804778
dre-miR-457a	0.034766593	0.988804778
dre-let-7j	0.038964348	0.988804778
dre-miR-34b	0.086300816	0.988804778
dre-miR-107b	0.073708486	0.988804778
dre-miR-7145	0.097251944	0.988804778
dre-miR-129-3-3p	-0.070583229	0.988804778
dre-miR-23b-3p	-0.034410719	0.988804778
dre-let-7i	0.026395375	0.989206622
dre-miR-22a-5p	-0.02248113	0.989206622
dre-miR-24	0.024038047	0.989206622
dre-miR-92b-5p	0.051571001	0.989206622
dre-miR-132-5p	-0.012663011	0.989206622
dre-miR-142a-5p	0.036983268	0.989206622
dre-miR-145-5p	0.017828653	0.989206622
dre-miR-218a	-0.01108169	0.989206622
dre-miR-489	0.033457266	0.989206622
dre-miR-24b-3p	0.017955923	0.989206622
dre-miR-734	-0.018261543	0.992308392
dre-miR-221-5p	-0.001440735	0.997803459
dre-miR-15b-5p	-0.004869717	0.997803459
dre-miR-100-2-3p	-0.002833603	0.997803459
dre-miR-129-3p	0.008441653	0.997803459
