"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy83",1.39259954588561,1.59158680319394,1.40608555375866,1.1319274271323,0.257664946684266,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy297",2.01075473296939,0.474349070766331,1.15754039805564,0.409790510606032,0.681959627879644,NA
"sncRNA:tRNA:tRNA-Pro-CCA:tRNA-Pro-CCA_copy141",1.15969197313554,-0.701567548189481,2.00644060518622,-0.349657770270438,0.726595549831263,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy39",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy42",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy44",1.30486755984158,0.877815543293318,1.38425238061927,0.634144145665555,0.525986754924008,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy45",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy46",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy49",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy51",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy53",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy54",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy56",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy61",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy63",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy66",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy68",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy69",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy71",48.5102494449558,1.7349026352831,0.711476515700081,2.43845383087028,0.0147502427655726,0.0999226088029297
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy72",6.74630953678489,0.775346902323881,0.963232103692862,0.80494296167179,0.42085259525092,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy59",1.97147598504184,1.2894683565612,1.17732019618704,1.09525714477453,0.273403996739539,NA
"sncRNA:tRNA:tRNA-Phe-TTY:tRNA-Phe-TTY_copy296",2.01075473296939,0.474349070766331,1.15754039805564,0.409790510606032,0.681959627879644,NA
