"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"(CATTC)n:Satellite:Satellite",14.4080434381557,-0.341177468611068,0.412049959502509,-0.82800024788982,0.407670359508067,0.997615069665759
"(GAATG)n:Satellite:Satellite",25.2174647716976,-0.0119232616995399,0.560963934190111,-0.0212549523647256,0.983042278517316,0.998979294562131
"ACROBAT1:TcMar-Stowaway:DNA",1058.8753924982,-0.0643231950911268,0.13388768251943,-0.48042653275287,0.630924131550693,0.997615069665759
"ACROBAT2:TcMar-Stowaway:DNA",137.398755651793,-0.0897157851719923,0.163809492055617,-0.54768367843746,0.583909121083551,0.997615069665759
"ANGEL:hAT:DNA",34611.8132786776,-0.153799807174021,0.137516686977588,-1.118408322323,0.263392641540385,0.997615069665759
"ASAT_CY:Satellite:Satellite",4135.12145275324,-0.0843268826999424,0.120116643113868,-0.702041619827838,0.48265320833203,0.997615069665759
"BEL-37-I_DR:Pao:LTR",54.4421653590053,-0.0132924922561142,0.502928329322985,-0.0264301919003208,0.978914212902742,0.998979294562131
"BEL-37-LTR_DR:Pao:LTR",82.1898735249884,-0.283062183910129,0.276470926222911,-1.02384069014875,0.305910527719921,0.997615069665759
"BEL-38-I_DR:Pao:LTR",546.025313103236,-0.0327679237567249,0.230248915164955,-0.142315214528804,0.886831029388847,0.997615069665759
"BEL-38-LTR_DR:Pao:LTR",49.3776371398347,0.160811133645982,0.210882135917499,0.762564040554358,0.445723436951907,0.997615069665759
"BEL1-I_DR:Pao:LTR",38.1567835197463,-0.496119863324258,0.46290901198784,-1.07174379948622,0.28383512213129,0.997615069665759
"BEL1-LTR_DR:Pao:LTR",11.8408058051603,0.209961157236716,0.501716624223598,0.41848554961006,0.675592149597743,0.997615069665759
"BEL10-I_DR:Pao:LTR",12.7773011778933,0.154870744035054,0.423845570132072,0.365394273170759,0.714817115513986,0.997615069665759
"BEL10-LTR_DR:Pao:LTR",34.0498754186216,-0.0831203371497968,0.260044083768822,-0.319639408615389,0.749241696603354,0.997615069665759
"BEL11-I_DR:Pao:LTR",303.194982919922,0.148294275818231,0.140861271950395,1.05276825748424,0.292447216396457,0.997615069665759
"BEL11-LTR_DR:Pao:LTR",18.772465811446,-0.431971627865895,0.429920859382829,-1.00477010695878,0.31500756115096,0.997615069665759
