"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"(CATTC)n:Satellite:Satellite",4.0376267263984,-0.638550697957566,0.745666580907961,-0.856348821721411,0.391804863939457,0.651295298417393
"(GAATG)n:Satellite:Satellite",6.87696282091496,-1.08537364403532,0.617350990993813,-1.75811436260609,0.0787280524489018,0.303760930459146
"ACROBAT1:TcMar-Stowaway:DNA",184.962530261105,0.0342117539849013,0.0983923974409467,0.347707291159711,0.728060020405974,0.904721643004482
"ACROBAT2:TcMar-Stowaway:DNA",53.0592387120056,0.147934323100044,0.366270361051224,0.403893786752116,0.68629082549401,0.875377623436349
"ANGEL:hAT:DNA",21016.0943281043,0.10556270246914,0.373667271649023,0.282504544760593,0.777556662234446,0.916793552913638
"ASAT_CY:Satellite:Satellite",1064.24429001662,0.0468699564902596,0.140872897980719,0.33271095549319,0.739352478979871,0.906800952064427
"BEL-37-I_DR:Pao:LTR",9.65429051839204,-0.540882019443487,0.558428125791361,-0.968579472384187,0.332755049467442,0.596137138091849
"BEL-37-LTR_DR:Pao:LTR",13.1091872791206,-1.70649658251814,0.415943351504171,-4.1027139305075,4.08332001185602e-05,0.0235680127672742
"BEL-38-I_DR:Pao:LTR",77.769261186934,-0.134756703583939,0.229026180684839,-0.588389952541613,0.556270580207167,0.782529271679195
"BEL-38-LTR_DR:Pao:LTR",8.69570107133789,-0.0299777891749417,0.346390308422664,-0.0865433831317328,0.93103447066282,0.974649786763963
"BEL1-I_DR:Pao:LTR",8.39074612412832,-0.649986152826882,0.39253259482848,-1.65587816499901,0.0977464942806039,0.329285532227682
"BEL1-LTR_DR:Pao:LTR",3.2588798411029,1.3641743997234,1.04635562811719,1.30373877013315,0.19232266565598,0.45352368133759
"BEL10-I_DR:Pao:LTR",9.61212658317189,1.41224132665522,0.378915253006021,3.72706381031533,0.000193723425447357,0.0235680127672742
"BEL10-LTR_DR:Pao:LTR",32.1406648041243,0.50790874303758,0.35964515348195,1.4122496525261,0.157876465222091,0.406614955891633
"BEL11-I_DR:Pao:LTR",43.753957017353,-0.241765530118283,0.280186579652922,-0.862873341106372,0.388207109544457,0.646606586271126
"BEL11-LTR_DR:Pao:LTR",3.97012576496945,-0.384019184981721,0.638811840195192,-0.60114600390685,0.54774274479283,0.774631998912036
"BEL12-I_DR:Pao:LTR",72.2434306886621,-0.238738576003987,0.355471067794912,-0.671611834642269,0.501830842127678,0.734280626143529
"BEL12-LTR_DR:Pao:LTR",15.1461751373931,-0.237972353990822,0.322941160302317,-0.736890750525722,0.461188789308693,0.701089845592409
"BEL13-I_DR:Pao:LTR",10.8218009648655,-0.32086213285797,0.555635036083197,-0.577469223538896,0.563622523272792,0.787208317628941
"BEL13-LTR_DR:Pao:LTR",6.57447354549915,-0.0403410877109554,0.41397867730701,-0.0974472597800927,0.922371215406565,0.972953893589466
"BEL14-I_DR:Pao:LTR",3.45512285834342,-0.350775418430929,0.645022717034054,-0.543818704624646,0.58656623605061,0.802669586174518
"BEL14-LTR_DR:Pao:LTR",0.778602646668254,-0.182792465077514,1.10922373865534,-0.164793142003167,0.869106802131374,0.96125170790847
"BEL15-I_DR:Pao:LTR",12.6652651661568,-0.621186184178591,0.346659510555339,-1.79192021353595,0.073145747551173,0.296679152067558
"BEL15-LTR_DR:Pao:LTR",1.37369839820464,-1.02508703138033,0.902645485704012,-1.13564743591535,0.256104147681601,0.519334973748224
"BEL17-I_DR:Pao:LTR",37.2870001414291,0.544204624888291,0.277936687068976,1.95801652033521,0.0502280742169043,0.248563171968308
"BEL17-LTR_DR:Pao:LTR",3.40234154144479,-0.206703529851141,0.673336020181944,-0.306984215392616,0.758855386811409,0.913531619034131
"BEL18-I_DR:Pao:LTR",27.0462433708006,0.973875883881963,0.593384208726564,1.64122312248915,0.100751107600864,0.33169358151713
"BEL18-LTR_DR:Pao:LTR",5.32029462324823,-0.164997247672496,0.590412398604648,-0.279461014135954,0.779891052810766,0.918477964634282
"BEL19-I_DR:Pao:LTR",10.276130656863,0.613090700239496,0.621344873795846,0.986715632647092,0.323782064232255,0.58699170541166
"BEL19-LTR_DR:Pao:LTR",9.5790077611837,0.111447091804726,0.842587063442467,0.13226774613581,0.894772518051,0.968549041394023
"BEL2-I_DR:Pao:LTR",18.4835887075647,0.147137753110117,0.452917702881784,0.324866420927958,0.745282171827639,0.906800952064427
"BEL2-LTR_DR:Pao:LTR",5.03714914613527,-0.426566836492321,0.655114050548005,-0.651133701277658,0.514960183169788,0.743831375689694
"BEL20-I_DR:Pao:LTR",115.279291135289,0.560935598151609,0.285750710320579,1.9630243351707,0.0496433464499571,0.248133339701107
"BEL20-LTR_DR:Pao:LTR",25.9713652749894,0.577456062599499,0.397826270499993,1.45152823083741,0.146632827029693,0.388195092542965
"BEL21-I_DR:Pao:LTR",6.91620566823137,-0.735806475949003,0.491663977132341,-1.4965637308648,0.134506813363673,0.374697551513089
"BEL21-LTR_DR:Pao:LTR",1.9374264745824,-0.643129733686766,0.82787025154885,-0.776848464458705,0.437248179496928,0.683314154213297
