miRNA	log2FoldChange	padj
dre-mir-150	0.599206944	0.081660829
dre-mir-152	-1.042651952	0.217410457
dre-mir-153b	-0.540092737	0.632262819
dre-mir-155	0.989127372	0.063467536
dre-mir-181c	0.710050077	0.246666973
dre-mir-184-1	0.519333973	0.744774299
dre-mir-190a	-0.852493366	0.180487993
dre-mir-462	1.033339503	0.021506388
dre-mir-193a-1	0.428656687	0.708728153
dre-mir-193a-2	0.169256355	0.86069967
dre-mir-193b	0.447974132	0.813062871
dre-mir-194a	1.656980666	0.085231314
dre-mir-194b	0.662631018	0.41812374
dre-mir-196a-2	2.572302362	1.20E-05
dre-mir-196b	1.10589312	0.069990719
dre-mir-200a	0.044605612	0.907981121
dre-mir-200b	0.079440505	0.860503584
dre-mir-200c	0.36809237	0.677048015
dre-mir-202	0.503754175	0.441862407
dre-mir-203b	0.257370289	0.822735124
dre-mir-204-2	0.305386724	0.662628851
dre-mir-206-1	0.590125844	0.472210213
dre-mir-206-2	0.03113972	0.984905786
dre-mir-216b	1.152866912	0.599032074
dre-mir-218a-1	-0.166259372	0.738812831
dre-mir-218a-2	-0.182486601	0.696029234
dre-mir-218b	0.062437217	0.960677375
dre-mir-301a	-0.602273347	0.217410457
dre-mir-301b	-0.962128778	0.369862103
dre-mir-301c	-1.237570326	0.077118223
dre-mir-338-1	-0.827470598	0.343896826
dre-mir-338-2	0.465145196	0.662628851
dre-mir-363	0.172578819	0.774948204
dre-mir-365-1	0.252266016	0.623712666
dre-mir-365-2	0.272976711	0.584108458
dre-mir-365-3	0.296528353	0.549657028
dre-mir-375-1	0.595898249	0.476348655
dre-mir-375-2	0.649103036	0.434673283
dre-mir-454a	0.164297827	0.80292877
dre-mir-454b	-0.262784383	0.386503789
dre-mir-455-1	0.390763301	0.549657028
dre-mir-430c-2	-0.887652488	0.044624792
dre-mir-430c-3	-0.887652488	0.044624792
dre-mir-430c-4	-0.887652488	0.044624792
dre-mir-430c-5	-0.887652488	0.044624792
dre-mir-430c-6	-0.887652488	0.044624792
dre-mir-430c-7	-0.887652488	0.044624792
dre-mir-430c-8	-0.887652488	0.044624792
dre-mir-430c-9	-0.887652488	0.044624792
dre-mir-430c-10	-0.887652488	0.044624792
dre-mir-430c-11	-0.887652488	0.044624792
dre-mir-430c-12	-0.887652488	0.044624792
dre-mir-430c-13	-0.887652488	0.044624792
dre-mir-430c-14	-0.887652488	0.044624792
dre-mir-430c-15	-0.887652488	0.044624792
dre-mir-430c-16	-0.887652488	0.044624792
dre-mir-430c-17	-0.887652488	0.044624792
dre-mir-430c-18	-0.887652488	0.044624792
dre-mir-430a-2	0.074598	0.86069967
dre-mir-430a-3	0.074598	0.86069967
