piRNA	log2FoldChange	padj
piR-dre-29537	2.178318568	0.131625059
piR-dre-45411	1.941140795	0.131625059
piR-dre-24522	-1.910989433	0.131625059
piR-dre-17598	1.503277283	0.131625059
piR-dre-896994	-2.137964188	0.131625059
piR-dre-9238	2.35296781	0.131625059
piR-dre-51552	2.322455755	0.131625059
piR-dre-541797	1.777005967	0.131625059
piR-dre-49858	2.629859487	0.131625059
piR-dre-34898	-2.089703482	0.131625059
piR-dre-45397	-1.941936379	0.131625059
piR-dre-1373	-2.904139308	0.131625059
piR-dre-26374	2.72721082	0.13322356
piR-dre-5228	-1.518500187	0.134899932
piR-dre-6379	2.51880915	0.134933332
piR-dre-13883	-1.842976727	0.134933332
piR-dre-1082630	-2.054401501	0.138348631
piR-dre-886310	-2.110275093	0.138348631
piR-dre-87694	-2.406123568	0.138348631
piR-dre-2191	-1.579984811	0.14111231
piR-dre-50703	-1.911370106	0.142472108
piR-dre-1372	-2.044939845	0.148894081
piR-dre-40164	1.494921001	0.150300668
piR-dre-41405	-2.4133671	0.151865617
piR-dre-12750	-1.191362978	0.154157356
piR-dre-24049	2.334689473	0.154157356
piR-dre-14558	1.767479093	0.154157356
piR-dre-74869	-1.232193052	0.154157356
piR-dre-12756	-1.721403545	0.154157356
piR-dre-62471	-3.349660673	0.154157356
piR-dre-38926	2.21986012	0.156829771
piR-dre-23275	5.210471926	0.156829771
piR-dre-59481	1.604302456	0.156829771
piR-dre-42116	-2.007391029	0.156829771
piR-dre-39197	-2.30436617	0.156829771
piR-dre-25660	-1.177174059	0.161638364
piR-dre-40499	1.250756941	0.163420004
piR-dre-9252	1.548599396	0.164020441
piR-dre-47173	-1.461431455	0.169153101
piR-dre-10112	1.807457196	0.169153101
piR-dre-34897	-2.097785344	0.169153101
piR-dre-55324	-2.031414937	0.171931876
piR-dre-15719	-1.774201586	0.172101504
piR-dre-8488	-1.917363154	0.172101504
piR-dre-1370	-1.958951923	0.172390283
piR-dre-73008	-1.777113691	0.174151157
piR-dre-178455	-4.190258421	0.174151157
piR-dre-310630	1.661046537	0.174282274
piR-dre-1011812	-2.923614574	0.174282274
piR-dre-752755	-2.012581334	0.174282274
piR-dre-784558	-2.008162397	0.174282274
piR-dre-23929	-2.645439313	0.174282274
